Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_33	http://purl.obolibrary.org/obo/OBI_0001743	detection of specific nucleic acids with complementary probes of epitope specific interleukin-1 beta production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_32	http://purl.obolibrary.org/obo/OBI_0001744	intracellular cytokine staining assay of epitope specific interleukin-1 alpha production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_31	http://purl.obolibrary.org/obo/OBI_0001745	ELISPOT assay of epitope specific interleukin-1 alpha production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_30	http://purl.obolibrary.org/obo/OBI_0001746	detection of specific nucleic acids with complementary probes of epitope specific interleukin-1 alpha production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_29	http://purl.obolibrary.org/obo/OBI_0001747	cytometric bead array assay of epitope specific interleukin-1 alpha production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_27	http://purl.obolibrary.org/obo/OBI_0001748	ELISPOT assay of epitope specific interferon-beta production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_28	http://purl.obolibrary.org/obo/OBI_0001749	intracellular cytokine staining assay of epitope specific interferon-beta production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_25	http://purl.obolibrary.org/obo/OBI_0001750	intracellular cytokine staining assay of epitope specific granulocyte colony stimulating factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_26	http://purl.obolibrary.org/obo/OBI_0001751	ELISA of epitope specific interferon-beta production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_23	http://purl.obolibrary.org/obo/OBI_0001752	detection of specific nucleic acids with complementary probes of epitope specific granulocyte colony stimulating factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_24	http://purl.obolibrary.org/obo/OBI_0001753	ELISPOT assay of epitope specific granulocyte colony stimulating factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_20	http://purl.obolibrary.org/obo/OBI_0001754	cytometric bead array assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#selection_rule	http://purl.obolibrary.org/obo/OBI_0001755	selection rule	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_22	http://purl.obolibrary.org/obo/OBI_0001756	ELISPOT assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_21	http://purl.obolibrary.org/obo/OBI_0001757	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_16	http://purl.obolibrary.org/obo/OBI_0001758	ELISPOT assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_17	http://purl.obolibrary.org/obo/OBI_0001759	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-X-C motif) ligand 12 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_18	http://purl.obolibrary.org/obo/OBI_0001760	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-X-C motif) ligand 13 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_19	http://purl.obolibrary.org/obo/OBI_0001761	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-X-C motif) ligand 16 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_12	http://purl.obolibrary.org/obo/OBI_0001762	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-C motif) ligand 21 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_13	http://purl.obolibrary.org/obo/OBI_0001763	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-C motif) ligand 22 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_14	http://purl.obolibrary.org/obo/OBI_0001764	cytometric bead array assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_15	http://purl.obolibrary.org/obo/OBI_0001765	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-C motif) ligand 4 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_89	http://purl.obolibrary.org/obo/OBI_0001766	detection of specific nucleic acids with complementary probes of epitope specific vascular endothelial growth factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_11	http://purl.obolibrary.org/obo/OBI_0001767	detection of specific nucleic acids with complementary probes of epitope specific chemokine (C-C motif) ligand 19 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_10	http://purl.obolibrary.org/obo/OBI_0001768	intracellular cytokine staining assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#specimen_collector_role	http://purl.obolibrary.org/obo/OBI_0001769	specimen collector role	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_91	http://purl.obolibrary.org/obo/OBI_0001770	intracellular cytokine staining assay of epitope specific vascular endothelial growth factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_90	http://purl.obolibrary.org/obo/OBI_0001771	ELISPOT assay of epitope specific vascular endothelial growth factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_93	http://purl.obolibrary.org/obo/OBI_0001772	assay of epitope specific interleukin-17F production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_92	http://purl.obolibrary.org/obo/OBI_0001773	assay of epitope specific interleukin-17A production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_95	http://purl.obolibrary.org/obo/OBI_0001774	assay of epitope specific chemokine (C-C motif) ligand 21 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_94	http://purl.obolibrary.org/obo/OBI_0001775	assay of epitope specific chemokine (C-C motif) ligand 19 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_97	http://purl.obolibrary.org/obo/OBI_0001776	assay of epitope specific chemokine (C-X-C motif) ligand 12 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_96	http://purl.obolibrary.org/obo/OBI_0001777	assay of epitope specific chemokine (C-C motif) ligand 22 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_99	http://purl.obolibrary.org/obo/OBI_0001778	assay of epitope specific chemokine (C-X-C motif) ligand 16 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_98	http://purl.obolibrary.org/obo/OBI_0001779	assay of epitope specific chemokine (C-X-C motif) ligand 13 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_78	http://purl.obolibrary.org/obo/OBI_0001780	ELISPOT assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_79	http://purl.obolibrary.org/obo/OBI_0001781	cytometric bead array assay of epitope specific macrophage inflammatory protein-1 gamma production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_80	http://purl.obolibrary.org/obo/OBI_0001782	detection of specific nucleic acids with complementary probes of epitope specific macrophage inflammatory protein-1 gamma production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_84	http://purl.obolibrary.org/obo/OBI_0001783	intracellular cytokine staining assay of epitope specific monocyte chemotactic protein-1 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_83	http://purl.obolibrary.org/obo/OBI_0001784	ELISPOT assay of epitope specific monocyte chemotactic protein-1 production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_82	http://purl.obolibrary.org/obo/OBI_0001785	intracellular cytokine staining assay of epitope specific macrophage inflammatory protein-1 gamma production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_81	http://purl.obolibrary.org/obo/OBI_0001786	ELISPOT assay of epitope specific macrophage inflammatory protein-1 gamma production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_88	http://purl.obolibrary.org/obo/OBI_0001787	cytometric bead array assay of epitope specific vascular endothelial growth factor production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_87	http://purl.obolibrary.org/obo/OBI_0001788	detection of specific nucleic acids with complementary probes of epitope specific tumor necrosis factor superfamily cytokine production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_86	http://purl.obolibrary.org/obo/OBI_0001789	intracellular cytokine staining assay of epitope specific RANTES production by T cells	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_85	http://purl.obolibrary.org/obo/OBI_0001790	ELISPOT assay of epitope specific RANTES production by T cells	Class
