Old IRI	New ID	Label	Term Type
	http://purl.obolibrary.org/obo/OBI_0001957	hardware testing design	Class
	http://purl.obolibrary.org/obo/OBI_0001958	systematic review study design	Class
http://purl.obolibrary.org/obo/obi.owl#sequencing_library_multiplexing	http://purl.obolibrary.org/obo/OBI_0001959	sequencing library multiplexing	Class
http://purl.obolibrary.org/obo/obi.owl#taxonomic_diversity_assessment_by_targeted_gene_survey	http://purl.obolibrary.org/obo/OBI_0001960	taxonomic diversity assessment by targeted gene survey	Class
http://purl.obolibrary.org/obo/obi.owl#pcr_program	http://purl.obolibrary.org/obo/OBI_0001961	PCR program	Class
http://purl.obolibrary.org/obo/obi.owl#target_gene_specification	http://purl.obolibrary.org/obo/OBI_0001962	target gene specification	Class
http://purl.obolibrary.org/obo/obi.owl#'target_subfragment_specification'	http://purl.obolibrary.org/obo/OBI_0001963	target subfragment specification	Class
http://purl.obolibrary.org/obo/obi.owl#decision-theoretic_analysis_objective	http://purl.obolibrary.org/obo/OBI_0001964	decision-theoretic analysis objective	Class
http://purl.obolibrary.org/obo/obi.owl#decision_analysis_study_design	http://purl.obolibrary.org/obo/OBI_0001965	decision analysis study design	Class
http://purl.obolibrary.org/obo/obi.owl#sequence_library_deconvolution	http://purl.obolibrary.org/obo/OBI_0001966	sequence library deconvolution	Class
http://purl.obolibrary.org/obo/obi.owl#mid	http://purl.obolibrary.org/obo/OBI_0001967	multiplexing sequence identifier	Class
http://purl.obolibrary.org/obo/obi.owl#OTU_matrix	http://purl.obolibrary.org/obo/OBI_0001968	operational taxonomic unit matrix	Class
http://purl.obolibrary.org/obo/obi.owl#biodiversity_assessment_objective	http://purl.obolibrary.org/obo/OBI_0001969	biodiversity assessment objective	Class
http://purl.obolibrary.org/obo/obi.owl#multiplexed_library	http://purl.obolibrary.org/obo/OBI_0001970	multiplexed sequencing library	Class
	http://purl.obolibrary.org/obo/OBI_0002015	transcription profiling by MPSS assay	Class
	http://purl.obolibrary.org/obo/OBI_0002016	histone modification identification by ChIP-chip assay	Class
	http://purl.obolibrary.org/obo/OBI_0002017	histone modification identification by ChIP-Seq assay	Class
	http://purl.obolibrary.org/obo/OBI_0002018	transcription factor binding site identification by ChIP-chip assay	Class
	http://purl.obolibrary.org/obo/OBI_0002019	transcription factor binding site identification by ChIP-Seq assay	Class
