Source Class IRI	Source Class Label	Community View Tag	Community Preferred Label	Include all subclasses
http://purl.obolibrary.org/obo/OBI_0001167	age measurement datum	X	age	
http://purl.obolibrary.org/obo/OBI_0001169	age since birth measurement datum	X	age since birth measurement	
http://purl.obolibrary.org/obo/OBI_0001165	age since coitus measurement datum	X	age since coitus measurement	
http://purl.obolibrary.org/obo/OBI_0001163	age since eclosion measurement datum	X	age since eclosion measurement	
http://purl.obolibrary.org/obo/OBI_0001159	age since egg laying measurement datum	X	age since egg laying measurement	
http://purl.obolibrary.org/obo/OBI_0001168	age since fertilization measurement datum	X	age since fertilization measurement	
http://purl.obolibrary.org/obo/OBI_0001161	age since germination measurement datum	X	age since germination measurement	
http://purl.obolibrary.org/obo/OBI_0001157	age since hatching measurement datum	X	age since hatching measurement	
http://purl.obolibrary.org/obo/OBI_0001156	age since planting measurement datum	X	age since planting measurement	
http://purl.obolibrary.org/obo/OBI_0001164	age since sowing measurement datum	X	age since sowing measurement	
http://purl.obolibrary.org/obo/OBI_0600018	material portioning	X	aliquoting	
http://purl.obolibrary.org/obo/OBI_0001440	all pairs design	X	all pairs	
http://purl.obolibrary.org/obo/OBI_0000275	analyte role	X	analyte	
http://purl.obolibrary.org/obo/OBI_0000919	animal euthanization	X	animal sacrifice	
http://purl.obolibrary.org/obo/OBI_0001069	array manufacturer role	X	array manufacturer	
http://purl.obolibrary.org/obo/OBI_0000456	material transformation objective	X	artifact creation objective
http://purl.obolibrary.org/obo/OBI_0000143	baseline participant role	X	baseline participant
http://purl.obolibrary.org/obo/OBI_0000198	biological replicate role	X	biological replicate
http://purl.obolibrary.org/obo/OBI_0000109	biological vector role	X	biological vector
http://purl.org/obo/owl/FMA#FMA_9670	Portion of blood	X	blood
http://purl.org/obo/owl/FMA#FMA_9669	Portion of body substance	X	body substance
http://purl.org/obo/owl/FMA#FMA_50801	Brain	X	brain
http://purl.obolibrary.org/obo/OBI_0001429	cell development or differentiation design	X	cell differentiation design
http://purl.obolibrary.org/obo/OBI_0100055	cell line cell	X	cell line
http://purl.obolibrary.org/obo/OBI_0001393	comparative genomic hybridization by array assay	X	CGH
http://purl.obolibrary.org/obo/OBI_0001248	ChIP-chip assay	X	ChIP-chip
http://purl.obolibrary.org/obo/OBI_0001221	ChIP-chip by SNP array assay	X	ChIP-chip by SNP array
http://purl.obolibrary.org/obo/OBI_0001419	ChIP-chip by tiling array assay	X	ChIP-chip by tiling array
http://purl.obolibrary.org/obo/OBI_0000716	ChIP-seq assay	X	ChIP-seq
http://purl.obolibrary.org/obo/OBI_0000749	CART	X	classification and regression trees (CART)
http://purl.obolibrary.org/obo/OGMS_0000090	treatment	X	clinical treatment
