Old IRI	New ID	Label	Term Type
	OBI:0002500	amniotic fluid specimen	Class
	OBI:0002501	bile specimen	Class
	OBI:0002502	cerebrospinal fluid specimen	Class
	OBI:0002503	feces specimen	Class
	OBI:0002504	digestive system fluid or secretion specimen	Class
	OBI:0002505	milk specimen	Class
	OBI:0002506	pericardial fluid specimen	Class
	OBI:0002507	saliva specimen	Class
	OBI:0002508	sputum specimen	Class
	OBI:0002509	sweat specimen	Class
	OBI:0002510	synovial fluid specimen	Class
	OBI:0002511	vitreous humor specimen	Class
	OBI:0002512	bone marrow specimen	Class
	OBI:0002513	placenta specimen	Class
	OBI:0002514	peritoneal fluid specimen	Class
	OBI:0002515	pleural fluid specimen	Class
	OBI:0002516	brain specimen	Class
	OBI:0002517	hair specimen	Class
	OBI:0002518	prostate gland specimen	Class
	OBI:0002519	skeletal muscle tissue specimen	Class
	OBI:0002520	heart specimen	Class
	OBI:0002521	renal medulla specimen	Class
	OBI:0002522	adrenal gland specimen	Class
	OBI:0002523	breast specimen	Class
	OBI:0002524	urinary bladder specimen	Class
	OBI:0002525	tibial artery specimen	Class
	OBI:0002526	skin of body specimen	Class
	OBI:0002527	pancreas specimen	Class
	OBI:0002528	stomach specimen	Class
	OBI:0002529	pituitary gland specimen	Class
	OBI:0002530	adipose tissue specimen	Class
	OBI:0002531	cortex of kidney specimen	Class
	OBI:0002532	esophagus mucosa specimen	Class
	OBI:0002533	colon specimen	Class
	OBI:0002534	lung specimen	Class
	OBI:0002535	esophagus muscularis mucosa specimen	Class
	OBI:0002536	cerebral cortex specimen	Class
	OBI:0002537	thyroid gland specimen	Class
	OBI:0002538	cerebellum specimen	Class
	OBI:0002539	tibial nerve specimen	Class
	OBI:0002540	coronary artery specimen	Class
	OBI:0002541	spleen specimen	Class
	OBI:0002542	aorta specimen	Class
