Old IRI	New ID	Label	Term Type
	OBI:0002110	digital object identifier	Class
	OBI:0002111	enhanced cross-linking immunoprecipitation high-throughput sequencing assay	Class
	OBI:0002112	small RNA-seq	Class
	OBI:0002113	bromouridine labeling and sequencing	Class
	OBI:0002114	bromouridine pulse-chase and sequencing	Class
	OBI:0002115	cytometry time of flight assay	Class
	OBI:0002116	high performance liquid chromotography assay	Class
	OBI:0002117	whole genome sequencing assay	Class
	OBI:0002118	exome sequencing assay	Class
	OBI:0002119	microscopy assay	Class
	OBI:0002120	mixed lymphocyte reaction	Class
	OBI:0002121	killer cell immunoglobulin-like receptor typing assay	Class
	OBI:0002122	major histocompatibility typing assay	Class
	OBI:0200001	geometric mean calculation	Class
